Open,High,Low,Close,Volume,Datetime,Tarih,Saat
329.0,330.0,328.75,329.75,841298.0,2026-07-01 16:25:00+03:00,2026-07-01,16:25:00
330.0,330.25,329.5,329.75,578536.0,2026-07-01 16:30:00+03:00,2026-07-01,16:30:00
329.75,330.0,329.5,329.5,202264.0,2026-07-01 16:35:00+03:00,2026-07-01,16:35:00
329.5,330.0,329.5,329.75,434055.0,2026-07-01 16:40:00+03:00,2026-07-01,16:40:00
329.75,330.0,329.5,329.75,457313.0,2026-07-01 16:45:00+03:00,2026-07-01,16:45:00
330.0,330.0,329.25,329.5,240613.0,2026-07-01 16:50:00+03:00,2026-07-01,16:50:00
329.25,329.5,329.25,329.25,73790.0,2026-07-01 16:55:00+03:00,2026-07-01,16:55:00
329.5,330.0,329.25,330.0,752752.0,2026-07-01 17:00:00+03:00,2026-07-01,17:00:00
330.0,330.0,329.75,330.0,376725.0,2026-07-01 17:05:00+03:00,2026-07-01,17:05:00
329.75,330.0,329.75,330.0,247254.0,2026-07-01 17:10:00+03:00,2026-07-01,17:10:00
330.0,330.5,329.75,330.25,727105.0,2026-07-01 17:15:00+03:00,2026-07-01,17:15:00
330.25,330.5,330.0,330.5,376727.0,2026-07-01 17:20:00+03:00,2026-07-01,17:20:00
330.25,330.5,329.75,330.25,1140980.0,2026-07-01 17:25:00+03:00,2026-07-01,17:25:00
330.0,330.25,329.5,329.75,1226450.0,2026-07-01 17:30:00+03:00,2026-07-01,17:30:00
329.75,330.0,329.25,329.25,599438.0,2026-07-01 17:35:00+03:00,2026-07-01,17:35:00
329.5,329.5,329.0,329.25,910584.0,2026-07-01 17:40:00+03:00,2026-07-01,17:40:00
329.0,329.25,328.5,329.0,589925.0,2026-07-01 17:45:00+03:00,2026-07-01,17:45:00
328.75,329.0,328.75,328.75,102819.0,2026-07-01 17:50:00+03:00,2026-07-01,17:50:00
328.75,329.0,328.5,328.5,628572.0,2026-07-01 17:55:00+03:00,2026-07-01,17:55:00
328.75,328.75,328.75,328.75,50.0,2026-07-01 18:00:00+03:00,2026-07-01,18:00:00
328.5,328.5,328.5,328.5,1898108.0,2026-07-01 18:05:00+03:00,2026-07-01,18:05:00
