ticker,name,city
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BURSA
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,ADANA
MEPET,BREAK MOLA TURİZM YATIRIMLAR A.Ş.,İSTANBUL
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
BLS,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
BLSMD,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURSA
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURSA
BRGAN,BURGAN BANK A.Ş.,İSTANBUL
BUR,BURGAN BANK A.Ş.,İSTANBUL
BRGFK,BURGAN FİNANSAL KİRALAMA A.Ş.,İSTANBUL
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,BURSA
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,ANKARA
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,İSTANBUL
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
CEMZY,CEM ZEYTİN A.Ş.,İZMİR
CEOEM,CEO EVENT MEDYA A.Ş.,İSTANBUL
CCOLA,COCA-COLA İÇECEK A.Ş.,İSTANBUL
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,İSTANBUL
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,İSTANBUL
CRDFA,CREDITWEST FAKTORİNG A.Ş.,İSTANBUL
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,ANTALYA
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,AYDIN
CAGFA,ÇAĞDAŞ FAKTORİNG A.Ş.,İSTANBUL
CMSAN,ÇAMSAN ENTEGRE AĞAÇ SANAYİ VE TİCARET A.Ş.,İSTANBUL
CANTE,ÇAN2 TERMİK A.Ş.,İSTANBUL
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,ZONGULDAK
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,İSTANBUL
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,KOCAELİ
CLKMT,ÇELİK MOTOR TİCARET A.Ş.,İSTANBUL
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,KIRŞEHİR
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,BURSA
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,İZMİR
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,İZMİR
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,İSTANBUL
DVRLK,D VARLIK KİRALAMA A.Ş.,İSTANBUL
DYBNK,D YATIRIM BANKASI A.Ş.,İSTANBUL
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,İSTANBUL
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,ÇANAKKALE
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,İSTANBUL
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,İSTANBUL
DGRVK,DEĞER VARLIK KİRALAMA A.Ş.,İSTANBUL
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,KOCAELİ
DENVA,DENGE VARLIK YÖNETİM A.Ş.,İSTANBUL
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,İSTANBUL
DNZEN,DENİZ EKO ENERJİ VE GERİ DÖNÜŞÜM A.Ş.,İSTANBUL
DENFA,DENİZ FAKTORİNG A.Ş.,İSTANBUL
DNFIN,DENİZ FİNANSAL KİRALAMA A.Ş.,İSTANBUL
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,TEKİRDAĞ
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,İSTANBUL
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,İSTANBUL
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,İSTANBUL
DMD,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
DSYAT,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
DEVA,DEVA HOLDİNG A.Ş.,İSTANBUL
DIMES,DİMES GIDA SANAYİ VE TİCARET A.Ş.,TOKAT
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,İZMİR
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,ISPARTA
DITAS,DİTAŞ BDY YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,NİĞDE
DKVRL,DK VARLIK KİRALAMA A.Ş.,İSTANBUL
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,İSTANBUL
DOCO,DO & CO AKTIENGESELLSCHAFT,
DOFRB,DOF ROBOTİK SANAYİ A.Ş.,İSTANBUL
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,ANKARA
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,İSTANBUL
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL
DOGVY,DOĞRU VARLIK YÖNETİM A.Ş.,İSTANBUL
ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,ERZURUM
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,ERZİNCAN
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,İSTANBUL
DFKTR,DORUK FAKTORİNG A.Ş.,İSTANBUL
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BURSA
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,İSTANBUL
DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.,ANKARA
DUNYH,DÜNYA HOLDİNG A.Ş.,İSTANBUL
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,İSTANBUL
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,İZMİR
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,İSTANBUL
ECOGR,ECOGREEN ENERJİ HOLDİNG A.Ş.,DENİZLİ
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,İSTANBUL
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,ANKARA
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,İSTANBUL
EFOR,EFOR YATIRIM SANAYİ TİCARET A.Ş.,İSTANBUL
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,İZMİR
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,İZMİR
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,İZMİR
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,İZMİR
EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,İZMİR
EGEGY,EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ECZIP,EİP ECZACIBAŞI İLAÇ PAZARLAMA A.Ş.,İSTANBUL
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL
EKER,EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.,BURSA
EKDMR,EKİNCİLER DEMİR VE ÇELİK SANAYİ A.Ş.,İSTANBUL
EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,İZMİR
EKOFA,EKO FAKTORİNG A.Ş.,İSTANBUL
EKOS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,BALIKESİR
EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,İSTANBUL
ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,ANKARA
EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,ANKARA
EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,KOCAELİ
EMIRV,EMİR VARLIK YÖNETİM A.Ş.,İSTANBUL
EKTVK,EMLAK KATILIM VARLIK KİRALAMA A.Ş.,İSTANBUL
DMLKT,EMLAK KONUT DAMLA KENT GMS,İSTANBUL
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
EMVAR,EMLAK VARLIK KİRALAMA A.Ş.,İSTANBUL
EMPAE,EMPA ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
ENDAE,ENDA ENERJİ HOLDİNG A.Ş.,İZMİR
ENJSA,ENERJİSA ENERJİ A.Ş.,İSTANBUL
ENERY,ENERYA ENERJİ A.Ş.,İSTANBUL
ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.,İSTANBUL
ENPRA,ENPARA BANK A.Ş.,İSTANBUL
ENSRI,ENSARİ SINAİ YATIRIMLAR A.Ş.,İSTANBUL
ERBOS,ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.,KAYSERİ
ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,İSTANBUL
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,İSTANBUL
ERGLI,EREĞLİ TEKSTİL TURİZM SANAYİ VE TİCARET A.Ş.,İSTANBUL
KIMMR,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,İSTANBUL
ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,ANKARA
ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,İSTANBUL
ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,İSTANBUL
ESEN,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,ANKARA
ETILR,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL
EUKYO,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
EUYO,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,ANKARA
ETYAT,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,ANKARA
EUHOL,EURO YATIRIM HOLDİNG A.Ş.,İSTANBUL
TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR
EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,ESKİŞEHİR
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,ANKARA
EYGYO,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,İZMİR
FAIRF,FAİR FİNANSMAN A.Ş.,İSTANBUL
FMIZP,FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,KOCAELİ
FENER,FENERBAHÇE FUTBOL A.Ş.,İSTANBUL
FBB,FİBABANKA A.Ş.,İSTANBUL
FBBNK,FİBABANKA A.Ş.,İSTANBUL
FKPET,FİKRET PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET A.Ş.,İSTANBUL
FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,ANKARA
FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,ANKARA
FROTO,FORD OTOMOTİV SANAYİ A.Ş.,İSTANBUL
FORMT,FORMET METAL VE CAM SANAYİ A.Ş.,KAYSERİ
FRMPL,FORMÜL PLASTİK VE METAL SANAYİ A.Ş.,İSTANBUL
FORTE,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,ANKARA
FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
FZLGY,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
GWIND,GALATA WIND ENERJİ A.Ş.,İSTANBUL
GSRAY,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,İSTANBUL
GARFA,GARANTİ FAKTORİNG A.Ş.,İSTANBUL
GARFL,GARANTİ FİLO YÖNETİM HİZMETLERİ A.Ş.,İSTANBUL
GRNYO,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
GATEG,GATE GROUP TEKNOLOJİ MEDYA VE SİBER GÜVENLİK HİZMETLERİ A.Ş.,İSTANBUL
GEDIK,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,KÜTAHYA
GLCVY,GELECEK VARLIK YÖNETİMİ A.Ş.,İSTANBUL
GENIL,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,ANKARA
GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,BOLU
GENKM,GENTAŞ KİMYA SANAYİ VE TİCARET PAZARLAMA A.Ş.,KOCAELİ
GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,İSTANBUL
GZNMI,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,ANTALYA
